 ,Study_midyear,Ecosystem_type,Other_factor,Manipulation,Mean Annual Precipitation (mm),Manipulation_level,Latitude,Longitude,Meas_method,Soil_type,Soil_drainage,Soil_clay,Elevation,Measurement Period,Unit,N_control,CH4_control,SD_CH4_control,SE_CH4_control,N_manip,CH4_manip,SD_CH4_manip,SE_CH4_manip
9,2016,Grassland,,Warming,432,2 °C,31.44,-92.01,Flame ionization detector,,Wet,,4500,Growing season,ug C m2 h,3,-50.16,,4.43,3,-58.28,,6.38
9,2016,Grassland,,Nitrogen Addition,432,20 kg N ha−1 yr−1,31.44,-92.01,Flame ionization detector,,Wet,,4500,Growing season,ug C m2 h,3,-50.16,,4.43,3,-47.03,,4.54
9,2016,Grassland,,Combined Precipitation and Warming,432,"Increased by 50 mm, 2 °C",31.44,-92.01,Flame ionization detector,,Wet,,4500,Growing season,ug C m2 h,3,-50.16,,4.43,3,-30.41,,6.35
9,2016,Grassland,,Combined Precipitation and Nitrogen Addition,432,"Increased by 50 mm, 20 kg N ha−1 yr−1",31.44,-92.01,Flame ionization detector,,Wet,,4500,Growing season,ug C m2 h,3,-50.16,,4.43,3,-12.51,,5.15
9,2016,Grassland,,Combined Warming and Nitrogen Addition,432,"2 °C, 20 kg N ha−1 yr−1",31.44,-92.01,Flame ionization detector,,Wet,,4500,Growing season,ug C m2 h,3,-50.16,,4.43,3,-53.95,,6.2
10,2015.5,Desert,,Water addition,216,60 mm year-1,44.43333333,87.9,Flame ionization detector,Desert Solonetz,,,436.8,Annual,ug C m2 h,4,-0.83,,0.17,4,-1.35,,0.16
10,2015.5,Desert,,Nitrogen Addition,216,30 kg N ha-1 year-1,44.43333333,87.9,Flame ionization detector,Desert Solonetz,,,436.8,Annual,ug C m2 h,4,-0.83,,0.17,4,-1.27,,0.28
10,2015.5,Desert,,Nitrogen Addition,216,60 kg N ha-1 year-1,44.43333333,87.9,Flame ionization detector,Desert Solonetz,,,436.8,Annual,ug C m2 h,4,-0.83,,0.17,4,-1.08,,0.27
10,2015.5,Desert,,Water and Nitrogen addition,216,30 kg N ha-1 year-1 and 60 mm year-4,44.43333333,87.9,Flame ionization detector,Desert Solonetz,,,436.8,Annual,ug C m2 h,4,-0.83,,0.17,4,-1.04,,0.24
10,2015.5,Desert,,Water and Nitrogen addition,216,60 kg N ha-1 year-1 and 60 mm year-4,44.43333333,87.9,Flame ionization detector,Desert Solonetz,,,436.8,Annual,ug C m2 h,4,-0.83,,0.17,4,-0.85,,0.08
10,2015.5,Desert,,Warming and Water and Nitrogen addition,216,30 kg N ha-1 year-1 and 60 mm year-4 and Warming,44.43333333,87.9,Flame ionization detector,Desert Solonetz,,,436.8,Annual,ug C m2 h,4,-0.83,,0.17,4,-0.86,,0.04
10,2015.5,Desert,,Warming only,216,,44.43333333,87.9,Flame ionization detector,Desert Solonetz,,,436.8,Annual,ug C m2 h,4,-0.83,,0.17,4,-0.82,,0.12
